Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
166,Kyle Korver,37,UTA,SG,4,0,30,4.4,.536,.750,.375,3.4,14.5,8.8,0.0,0.0,0.0,9.7,14.7,0.0,0.0,0.0,.016,-5.1,-1.0,-6.1,0.0,,korveky01
167,Doug McDermott,27,IND,SF,3,0,29,6.1,.255,.700,.400,10.3,8.3,9.4,21.9,0.0,3.3,0.0,18.8,-0.1,0.0,0.0,-0.065,-2.5,-0.9,-3.4,0.0,,mcderdo01
168,Malcolm Miller,25,TOR,SF,10,0,28,4.0,.410,.750,.500,0.0,19.7,9.9,5.1,0.0,3.5,9.3,17.5,0.0,0.0,0.0,-0.024,-5.1,-0.7,-5.8,0.0,,millema01
169,Tony Snell,27,MIL,SF,9,0,28,4.6,.417,.333,.000,7.4,3.5,5.4,0.0,1.7,3.2,14.3,10.8,0.0,0.0,0.0,.026,-4.2,0.6,-3.6,0.0,,snellto01
170,Eric Moreland,27,TOR,PF,8,0,28,10.0,.500,.000,.000,7.9,47.3,27.6,14.4,0.0,0.0,0.0,3.2,0.1,0.1,0.1,.186,-2.2,3.7,1.4,0.0,,moreler01
171,Shabazz Napier,27,BRK,PG,3,0,28,47.7,.826,.455,.727,6.8,19.9,12.8,71.4,1.6,0.0,0.0,21.1,0.4,0.0,0.4,.642,17.3,5.5,22.9,0.2,,napiesh01
172,Jeremy Lin,30,TOR,PG,8,0,27,1.1,.418,.222,.444,0.0,12.3,6.1,21.0,1.9,0.0,31.7,26.5,-0.1,0.0,-0.1,-0.176,-8.3,-0.9,-9.2,0.0,,linje01
173,Theo Pinson,23,BRK,SG,3,0,22,16.5,.563,.875,.000,0.0,15.2,7.0,20.5,4.2,0.0,11.1,16.7,0.0,0.0,0.0,.086,2.9,2.5,5.4,0.0,,pinsoth01
174,Zaza Pachulia,34,DET,C,2,0,22,2.3,.363,.000,.333,4.0,42.3,20.6,0.0,0.0,0.0,12.7,15.1,-0.1,0.0,-0.1,-0.139,-7.7,-3.3,-11.0,0.0,,pachuza01
175,Lonnie Walker IV,20,SAS,SG,6,0,21,8.7,.375,.125,.000,0.0,10.2,5.1,21.1,0.0,0.0,0.0,17.7,0.0,0.0,0.0,-0.041,-3.0,-2.1,-5.1,0.0,,walkelo01
176,Jake Layman,24,POR,SF,6,0,20,-1.1,.285,.714,.571,5.3,15.9,10.6,0.0,0.0,0.0,0.0,19.1,-0.1,0.0,-0.1,-0.130,-8.2,-3.7,-11.9,-0.1,,laymaja01
177,Amir Johnson,31,PHI,C,4,0,20,24.1,1.000,.000,.000,17.1,10.3,13.5,16.1,2.4,0.0,20.0,10.6,0.1,0.0,0.1,.273,5.5,3.1,8.5,0.1,,johnsam01
178,Raul Neto,26,UTA,PG,3,0,20,-4.6,.167,.167,.000,0.0,16.4,7.9,7.5,0.0,0.0,0.0,12.8,-0.1,0.0,-0.1,-0.167,-10.3,-3.2,-13.4,-0.1,,netora01
179,Donatas Motiejūnas,28,SAS,PF,5,0,19,33.0,.597,.100,.200,17.1,22.5,19.8,20.8,0.0,0.0,0.0,26.6,0.1,0.0,0.1,.276,9.2,-0.6,8.6,0.0,,motiedo01
180,Jacob Evans,21,GSW,SG,7,0,18,0.4,.500,.400,.000,0.0,6.2,3.2,7.5,0.0,0.0,28.6,16.9,0.0,0.0,-0.1,-0.145,-6.5,-3.2,-9.7,0.0,,evansja02
181,Jarell Martin,24,ORL,PF,3,0,18,16.8,.506,.778,.222,5.6,6.5,6.1,12.4,0.0,5.1,0.0,24.4,0.0,0.0,0.0,.048,5.9,0.4,6.3,0.0,,martija01
182,Brad Wanamaker,29,BOS,PG,4,0,17,20.3,.571,.143,.571,0.0,0.0,0.0,31.1,5.7,0.0,18.6,28.0,0.0,0.0,0.0,.124,2.7,1.5,4.2,0.0,,wanambr01
183,Juancho Hernangómez,23,DEN,PF,5,0,15,-0.2,.500,.667,.000,0.0,21.4,10.5,0.0,0.0,0.0,25.0,11.9,0.0,0.0,0.0,-0.076,-7.8,-1.7,-9.5,0.0,,hernaju01
184,Melvin Frazier,22,ORL,SG,3,0,15,13.4,.425,.000,.400,6.8,23.5,14.5,0.0,3.4,0.0,0.0,17.4,0.0,0.0,0.0,.033,-1.6,3.1,1.5,0.0,,frazime01
185,Khyri Thomas,22,DET,SG,3,0,15,30.5,.563,.333,.083,0.0,15.5,6.7,0.0,6.4,0.0,0.0,34.9,0.0,0.0,0.0,.094,6.9,4.6,11.5,0.1,,thomakh01
186,Džanan Musa,19,BRK,SG,2,0,15,0.3,.667,.333,.000,0.0,0.0,0.0,0.0,6.2,0.0,50.0,16.3,-0.1,0.0,-0.1,-0.171,-13.0,2.4,-10.7,0.0,,musadz01
187,Guerschon Yabusele,23,BOS,PF,4,0,14,15.7,.565,.250,1.750,7.6,7.0,7.3,11.9,0.0,6.7,12.4,25.5,0.0,0.0,0.0,.148,-0.6,2.5,1.9,0.0,,yabusgu01
188,Jerian Grant,26,ORL,PG,3,0,14,-3.1,.239,.700,.100,0.0,33.6,15.6,40.6,0.0,0.0,8.7,36.3,-0.1,0.0,-0.1,-0.390,-10.8,-3.9,-14.7,0.0,,grantje02
189,Grayson Allen,23,UTA,SG,2,0,14,10.6,.446,.429,1.000,0.0,7.8,3.8,0.0,0.0,0.0,0.0,30.8,0.0,0.0,0.0,.000,-1.6,-3.5,-5.1,0.0,,allengr01
190,Dante Cunningham,31,SAS,PF,5,0,13,29.4,1.000,.667,.000,16.7,32.9,24.9,0.0,0.0,0.0,0.0,10.7,0.1,0.0,0.1,.313,12.1,0.0,12.1,0.0,,cunnida01
191,Aaron Holiday,22,IND,PG,3,0,13,-1.3,.500,.400,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,21.3,0.0,0.0,0.0,-0.114,-7.7,-2.9,-10.6,0.0,,holidaa01
192,Robert Williams,21,BOS,C,3,0,13,17.1,.694,.000,1.000,8.2,45.1,27.5,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.1,.253,2.5,0.1,2.6,0.0,,williro04
193,Quincy Pondexter,30,SAS,SF,5,0,12,1.1,.000,.500,.000,0.0,8.9,4.5,20.3,4.4,0.0,0.0,7.7,0.0,0.0,0.0,-0.080,-7.5,2.5,-5.0,0.0,,pondequ01
194,Anfernee Simons,19,POR,SG,5,0,12,-9.1,.217,.286,.714,0.0,0.0,0.0,0.0,4.2,0.0,0.0,33.4,-0.1,0.0,-0.1,-0.369,-14.2,-4.2,-18.5,-0.1,,simonan01
195,Sindarius Thornwell,24,LAC,SG,4,0,12,8.9,.417,.500,.000,0.0,39.5,18.6,0.0,3.9,0.0,0.0,20.8,0.0,0.0,0.0,-0.052,-4.8,2.5,-2.3,0.0,,thornsi01
196,Skal Labissière,22,POR,PF,3,0,11,-7.0,.225,.500,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-0.1,0.0,-0.1,-0.258,-9.6,-6.3,-15.8,0.0,,labissk01
197,Tyrone Wallace,24,LAC,PG,2,0,11,4.4,.376,.000,.750,0.0,10.8,5.1,36.9,0.0,0.0,15.8,23.9,0.0,0.0,0.0,-0.148,-5.6,-0.8,-6.4,0.0,,wallaty01
198,José Calderón,37,DET,PG,3,0,10,21.4,,,,0.0,0.0,0.0,64.0,4.8,0.0,,0.0,0.0,0.0,0.0,.174,5.0,5.8,10.8,0.0,,caldejo01
199,T.J. Leaf,21,IND,PF,1,0,10,3.2,.258,.333,.667,9.9,24.2,16.4,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,-0.093,-4.2,-2.4,-6.7,0.0,,leaftj01
200,Damian Jones,23,GSW,C,4,1,8,2.5,.798,.000,2.000,0.0,28.0,14.4,0.0,0.0,0.0,34.7,15.7,0.0,0.0,0.0,-0.031,-12.3,-0.4,-12.7,0.0,,jonesda03
201,Trey Lyles,23,DEN,PF,3,0,8,-4.4,.000,.333,.000,12.9,0.0,6.6,30.9,0.0,0.0,0.0,16.8,0.0,0.0,0.0,-0.246,-6.6,-4.1,-10.7,0.0,,lylestr01
202,Ekpe Udoh,31,UTA,C,2,0,6,-6.8,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,-0.189,-8.4,-5.3,-13.7,0.0,,udohek01
203,Abdel Nader,25,OKC,SF,3,0,5,16.1,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,16.7,0.0,17.1,0.0,0.0,0.0,.042,2.1,4.4,6.5,0.0,,naderab01
204,Jarred Vanderbilt,19,DEN,PF,3,0,5,11.1,,,,0.0,21.4,10.5,0.0,0.0,15.7,,0.0,0.0,0.0,0.0,.074,-1.3,4.8,3.5,0.0,,vandeja01
205,Zhaire Smith,19,PHI,SG,2,0,5,10.5,,,,0.0,0.0,0.0,0.0,9.8,0.0,,0.0,0.0,0.0,0.0,.124,-3.6,7.7,4.1,0.0,,smithzh01
206,Jon Leuer,29,DET,PF,1,0,5,0.5,.410,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,-0.187,-7.6,-3.8,-11.3,0.0,,leuerjo01
207,Deonte Burton,25,OKC,SG,3,0,4,-7.1,.200,.400,.000,26.7,27.5,27.1,0.0,0.0,0.0,0.0,53.4,-0.1,0.0,0.0,-0.593,-9.5,-10.4,-19.9,0.0,,burtode02
208,Chris Boucher,26,TOR,PF,2,0,4,31.8,.460,.600,.200,0.0,27.6,13.8,0.0,0.0,24.5,0.0,61.8,0.0,0.0,0.0,-0.088,7.6,-0.6,7.0,0.0,,bouchch01
209,Gary Clark,24,HOU,PF,2,0,4,3.0,,,,0.0,27.3,14.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.035,-1.6,1.0,-0.6,0.0,,clarkga01
210,Isaiah Hartenstein,20,HOU,PF,2,0,2,98.1,1.000,.000,.000,58.2,0.0,28.2,0.0,0.0,0.0,0.0,44.4,0.1,0.0,0.1,1.648,23.6,2.2,25.8,0.0,,harteis01
211,Kyle O'Quinn,28,IND,C,1,0,2,-27.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.1,0.0,0.0,0.0,-0.712,-35.8,-3.7,-39.6,0.0,,oquinky01
212,Edmond Sumner,23,IND,PG,1,0,2,12.1,,,,0.0,100.0,54.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.162,-9.9,12.1,2.1,0.0,,sumneed01
,League Average,,,,,,,,.551,.379,.284,4.5,15.4,10.0,15.3,1.4,1.8,11.6,20.0,,,,,,,,,,-9999
